id,age_group,game_user,culture_identity,nft_awareness,trust_in_platform,offline_travel_interest,purchase_intention,preferred_rights
147,18-24,0,2,3,5,2,中低,景区权益
148,35-44,0,5,3,5,2,中低,限量收藏
149,35-44,0,2,1,3,2,中低,限量收藏
150,25-34,0,5,1,3,4,高,限量收藏
151,18-24,1,5,4,5,1,中高,线下活动
152,35-44,1,4,3,2,4,中低,二创权益
153,25-34,0,4,4,1,1,低,线下活动
154,18-24,0,2,5,4,2,低,线下活动
155,18-24,1,1,2,3,3,低,景区权益
156,18-24,0,2,1,1,2,低,线下活动
157,25-34,0,1,5,4,5,中低,景区权益
158,45+,1,2,5,4,1,高,景区权益
159,35-44,0,3,1,3,3,低,景区权益
160,25-34,1,3,1,2,2,低,线下活动
161,25-34,1,1,3,2,3,低,二创权益
162,25-34,1,4,4,1,4,中低,线下活动
163,25-34,1,1,5,1,1,低,景区权益
164,18-24,1,2,3,5,5,低,景区权益
165,35-44,0,5,3,2,4,低,限量收藏
166,35-44,1,3,5,1,3,中低,景区权益
167,25-34,0,5,5,5,2,高,限量收藏
168,35-44,1,3,2,4,1,低,线下活动
169,25-34,1,2,4,1,5,低,二创权益
170,25-34,0,3,5,5,2,低,限量收藏
171,18-24,1,1,1,2,5,低,景区权益
172,35-44,0,5,2,4,1,中高,线下活动
173,35-44,0,5,4,1,3,中高,线下活动
174,25-34,1,2,1,2,5,中低,二创权益
175,18-24,0,5,1,4,1,中高,景区权益
176,18-24,0,2,4,3,5,中低,限量收藏
177,25-34,0,4,2,2,2,低,二创权益
178,25-34,1,1,1,3,5,低,景区权益
179,25-34,0,3,3,1,2,中低,线下活动
180,45+,0,3,4,5,2,中高,景区权益
181,35-44,1,3,4,1,1,低,限量收藏
182,25-34,0,4,5,2,4,中高,线下活动
183,18-24,0,1,2,3,5,低,限量收藏
184,18-24,1,5,3,3,3,中低,线下活动
185,35-44,0,5,3,4,2,中高,限量收藏
186,35-44,1,1,5,1,4,中低,二创权益
187,35-44,0,1,1,1,2,低,限量收藏
188,25-34,1,3,1,2,4,低,景区权益
189,18-24,1,5,3,3,4,中低,限量收藏
190,45+,0,1,2,2,3,低,线下活动
191,45+,0,5,1,2,4,低,线下活动
192,25-34,1,1,4,3,3,低,限量收藏
193,18-24,0,2,5,2,1,低,限量收藏
194,25-34,1,3,2,3,2,低,线下活动
195,45+,1,1,1,2,3,低,线下活动
196,35-44,1,4,3,5,2,中高,线下活动
197,35-44,1,1,5,2,5,低,线下活动
198,18-24,0,2,1,2,1,低,限量收藏
199,18-24,0,4,3,5,5,低,景区权益
200,18-24,1,4,1,1,5,低,景区权益
201,45+,1,1,5,3,4,低,二创权益
202,25-34,1,2,4,4,4,低,景区权益
203,35-44,1,4,4,5,5,低,限量收藏
204,18-24,1,3,3,1,4,低,二创权益
205,45+,0,3,4,2,2,中低,景区权益
206,35-44,1,5,5,1,4,高,线下活动
207,18-24,0,5,3,5,5,中高,线下活动
208,35-44,0,2,1,2,4,低,二创权益
209,18-24,0,4,2,1,4,低,景区权益
210,18-24,1,3,1,4,3,中高,景区权益
211,18-24,1,3,5,3,3,中低,二创权益
212,45+,0,2,3,3,5,中低,景区权益
213,45+,0,4,1,5,2,中低,限量收藏
214,25-34,1,2,3,2,1,低,线下活动
215,35-44,1,1,4,2,1,低,景区权益
216,35-44,1,3,2,3,5,中高,二创权益
217,35-44,1,2,5,1,2,中高,线下活动
218,18-24,1,2,1,2,2,中高,景区权益
219,25-34,0,1,2,4,2,低,景区权益
220,25-34,0,5,5,4,3,中高,景区权益
221,18-24,0,3,5,2,5,低,景区权益
222,25-34,1,2,4,2,1,中低,线下活动
223,35-44,0,3,3,3,2,中低,景区权益
224,18-24,1,5,3,5,5,中高,景区权益
225,45+,0,2,2,3,1,低,二创权益
226,18-24,0,1,4,5,3,中高,限量收藏
227,45+,0,3,5,4,4,中低,景区权益
228,18-24,0,1,4,5,1,低,二创权益
229,18-24,0,5,4,3,1,中低,景区权益
230,18-24,1,5,2,2,1,低,二创权益
231,35-44,0,3,3,5,4,低,线下活动
232,35-44,1,5,4,3,2,中高,线下活动
233,18-24,0,4,4,4,4,中高,线下活动
234,18-24,0,3,4,5,1,中低,限量收藏
235,25-34,0,4,1,4,3,低,线下活动
236,25-34,1,5,4,4,1,中低,线下活动
237,35-44,0,3,4,1,3,中高,景区权益
238,18-24,0,4,5,5,5,高,限量收藏
239,25-34,1,5,1,3,3,中高,二创权益
240,35-44,0,2,4,5,1,低,限量收藏
241,45+,1,2,4,5,4,低,二创权益
242,35-44,0,1,2,4,1,中低,限量收藏
243,18-24,1,2,2,4,1,中高,限量收藏
244,18-24,0,4,1,4,5,低,景区权益
245,25-34,1,2,5,4,2,高,景区权益
246,25-34,1,3,1,3,1,低,限量收藏
247,45+,0,3,1,2,5,低,限量收藏
248,35-44,0,3,2,1,4,低,线下活动
249,25-34,0,2,2,4,5,低,线下活动
250,25-34,1,2,5,4,5,低,线下活动
251,25-34,0,1,4,1,3,中低,线下活动
252,18-24,0,5,5,4,2,中高,景区权益
253,18-24,1,1,4,2,2,低,线下活动
254,25-34,0,4,3,5,4,中高,景区权益
255,18-24,0,3,2,1,5,低,限量收藏
256,18-24,0,2,3,3,4,中高,景区权益
257,18-24,1,5,3,1,4,低,限量收藏
258,18-24,1,5,2,2,2,中低,景区权益
259,18-24,0,2,3,3,2,低,景区权益
260,35-44,1,1,1,5,2,中低,限量收藏
261,25-34,0,5,4,4,1,高,二创权益
262,25-34,0,1,5,1,5,低,景区权益
263,25-34,0,2,2,3,4,低,线下活动
264,45+,0,1,1,1,5,低,限量收藏
265,18-24,0,3,5,5,4,中低,景区权益
266,25-34,1,2,5,1,4,低,景区权益
267,18-24,1,2,5,3,4,低,景区权益
268,25-34,0,5,3,2,4,中低,线下活动
269,45+,0,5,3,3,3,中低,景区权益
270,35-44,1,5,3,1,3,中高,景区权益
271,25-34,0,3,3,5,1,中低,景区权益
272,25-34,1,3,1,4,2,中低,限量收藏
273,35-44,0,4,3,4,4,中低,线下活动
274,18-24,0,2,2,5,5,中高,限量收藏
275,25-34,0,5,5,1,3,中低,限量收藏
276,25-34,1,2,1,5,2,中低,限量收藏
277,25-34,1,1,3,1,1,低,景区权益
278,18-24,0,3,5,3,2,中低,限量收藏
279,35-44,1,4,1,2,4,低,限量收藏
280,18-24,0,1,5,1,2,低,限量收藏
281,18-24,0,2,1,4,4,低,线下活动
282,25-34,1,3,4,4,3,中低,线下活动
283,18-24,1,5,1,2,3,中低,景区权益
284,35-44,0,1,3,1,4,低,景区权益
285,25-34,0,3,5,2,5,中低,限量收藏
286,35-44,1,2,5,3,3,中低,线下活动
287,25-34,1,2,5,2,5,中低,景区权益
288,35-44,1,1,2,3,4,中低,二创权益
289,35-44,0,1,2,4,4,低,限量收藏
290,25-34,1,1,3,3,3,低,景区权益
291,25-34,0,4,4,1,5,中高,线下活动
292,45+,1,5,2,1,4,低,景区权益
293,18-24,0,3,1,1,3,低,限量收藏
294,25-34,0,2,3,1,4,低,限量收藏
295,18-24,0,2,4,5,2,中高,景区权益
296,18-24,1,5,1,3,2,低,线下活动
297,18-24,1,1,5,1,3,低,线下活动
298,25-34,0,1,2,2,4,低,景区权益
299,35-44,1,2,1,2,3,低,景区权益
300,18-24,1,5,4,5,1,中高,景区权益
301,35-44,0,2,3,3,3,中低,线下活动
302,25-34,1,1,1,3,3,低,景区权益
303,45+,1,3,3,3,2,中低,限量收藏
304,45+,0,1,5,5,2,中低,景区权益
305,35-44,0,3,4,3,4,中低,景区权益
306,45+,0,4,4,3,3,低,线下活动
307,35-44,0,5,2,1,3,中低,线下活动
308,45+,0,4,4,3,4,中低,限量收藏
309,18-24,1,1,1,1,5,低,线下活动
310,25-34,1,5,1,1,4,中低,限量收藏
311,35-44,0,1,1,3,2,低,景区权益
312,25-34,1,5,5,2,2,中低,景区权益
313,35-44,1,5,4,4,3,高,限量收藏
314,35-44,1,1,4,2,2,中低,线下活动
315,18-24,0,1,1,3,4,低,二创权益
316,35-44,1,5,2,3,3,中高,景区权益
317,18-24,1,5,2,2,4,中高,景区权益
318,25-34,0,1,4,3,4,中低,景区权益
319,25-34,0,1,4,1,3,低,线下活动
320,18-24,0,2,3,5,5,低,线下活动
321,25-34,1,2,4,3,2,中高,景区权益
322,25-34,0,2,1,3,1,低,线下活动
323,18-24,1,4,5,2,1,中低,线下活动
324,35-44,1,5,4,1,1,高,景区权益
325,25-34,0,3,4,2,2,低,限量收藏
326,18-24,1,4,1,2,5,低,限量收藏
327,18-24,0,5,3,3,4,中低,景区权益
328,35-44,0,3,4,1,3,低,限量收藏
329,35-44,1,2,2,3,5,中低,景区权益
330,18-24,1,3,2,3,1,低,限量收藏
331,18-24,0,1,2,3,2,低,线下活动
332,35-44,1,1,5,3,2,中低,限量收藏
333,25-34,0,5,5,5,3,高,景区权益
334,18-24,0,4,4,4,4,低,景区权益
335,25-34,0,2,4,1,5,低,限量收藏
336,25-34,0,5,4,5,5,中高,景区权益
337,35-44,1,2,5,4,5,中低,限量收藏
338,18-24,1,1,4,4,4,中高,景区权益
339,25-34,0,4,1,4,4,中低,线下活动
340,18-24,0,4,3,5,4,中高,二创权益
341,45+,0,1,2,1,3,低,二创权益
342,35-44,0,3,2,2,2,低,景区权益
343,35-44,1,4,1,4,1,中低,线下活动
344,35-44,1,3,4,2,4,中高,景区权益
345,25-34,1,2,5,2,2,低,线下活动
346,45+,0,4,4,3,4,中低,景区权益
347,18-24,0,1,4,2,1,中低,线下活动
348,35-44,0,3,2,3,4,低,限量收藏
349,18-24,0,2,2,1,2,中低,二创权益
350,25-34,0,2,5,1,3,低,线下活动
351,25-34,0,4,2,3,1,中高,景区权益
352,35-44,0,4,4,1,2,中低,二创权益
353,35-44,1,5,1,4,5,低,景区权益
354,25-34,1,5,5,1,5,中高,二创权益
355,25-34,0,4,1,3,5,中高,线下活动
356,45+,1,5,4,4,3,中高,二创权益
357,18-24,0,1,5,2,4,低,景区权益
358,35-44,0,1,1,2,4,低,景区权益
359,25-34,1,5,5,2,4,高,线下活动
360,25-34,0,4,4,3,3,中低,二创权益
361,18-24,1,1,5,2,5,中高,景区权益
362,25-34,0,2,4,1,4,中低,景区权益
363,18-24,1,4,5,2,3,中高,景区权益
364,18-24,1,3,5,5,3,中高,二创权益
365,18-24,1,3,2,5,2,中低,线下活动
366,25-34,1,4,4,2,4,中高,景区权益
367,25-34,1,5,3,2,5,中高,景区权益
368,35-44,1,1,5,5,1,高,限量收藏
369,18-24,0,1,1,2,3,低,景区权益
370,25-34,0,4,2,4,2,高,线下活动
371,25-34,1,2,2,5,1,中低,限量收藏
372,25-34,1,5,5,3,3,高,线下活动
373,35-44,1,2,3,5,2,低,二创权益
374,25-34,0,4,2,1,4,低,限量收藏
375,35-44,0,4,4,4,2,低,景区权益
376,25-34,1,2,5,3,3,中高,线下活动
377,25-34,1,3,5,2,4,低,景区权益
378,25-34,1,4,3,1,5,中低,二创权益
379,35-44,0,5,4,1,2,中低,景区权益
380,45+,0,2,4,4,1,低,线下活动
381,25-34,0,3,3,3,4,低,景区权益
382,35-44,0,2,1,1,4,低,景区权益
383,18-24,1,3,4,3,5,中高,景区权益
384,45+,0,3,1,3,2,低,二创权益
385,18-24,0,5,1,1,1,低,二创权益
386,18-24,0,4,5,3,5,中高,景区权益
387,18-24,0,3,5,4,2,中低,景区权益
388,45+,1,4,2,1,1,低,景区权益
389,35-44,0,5,5,4,1,中低,景区权益
390,45+,0,4,4,4,3,中高,线下活动
391,35-44,1,1,4,3,1,中低,限量收藏
392,25-34,0,3,1,3,2,中低,线下活动
393,45+,1,5,4,1,5,中低,线下活动
394,45+,0,2,5,2,5,低,限量收藏
395,25-34,1,5,5,1,3,中高,线下活动
396,18-24,0,3,5,4,2,中低,景区权益
397,25-34,0,5,3,3,1,中低,景区权益
398,45+,0,2,4,4,3,低,线下活动
399,35-44,0,1,2,5,4,低,景区权益
400,35-44,0,3,4,5,2,中高,景区权益
401,45+,0,3,4,4,3,低,二创权益
402,45+,1,5,3,2,5,中低,限量收藏
403,35-44,1,4,4,2,3,高,限量收藏
404,35-44,0,4,1,1,4,低,线下活动
405,18-24,0,2,5,1,2,低,景区权益
406,25-34,1,1,5,1,3,低,二创权益
407,25-34,1,1,3,3,1,低,景区权益
408,35-44,0,5,5,2,2,高,线下活动
409,25-34,0,5,1,4,3,低,线下活动
410,18-24,0,4,3,5,3,低,限量收藏
411,18-24,0,1,2,2,2,中低,线下活动
412,35-44,1,1,5,2,5,中高,二创权益
413,25-34,1,1,4,2,1,中低,线下活动
414,25-34,1,2,1,1,2,低,景区权益
415,18-24,0,2,1,3,1,低,限量收藏
416,25-34,0,5,5,4,1,高,二创权益
417,18-24,1,4,2,1,2,中低,限量收藏
418,25-34,0,3,4,3,3,中低,线下活动
419,25-34,0,4,2,2,5,低,限量收藏
420,25-34,0,2,2,3,1,低,景区权益
421,25-34,1,2,5,1,1,低,景区权益
422,18-24,0,5,4,2,3,中低,二创权益
423,35-44,0,3,5,1,2,中低,限量收藏
424,25-34,1,1,5,4,5,低,景区权益
425,18-24,1,3,1,2,1,低,二创权益
426,18-24,0,3,5,3,1,中高,限量收藏
427,25-34,1,3,3,1,2,中低,线下活动
428,18-24,0,5,4,5,3,中高,景区权益
429,18-24,0,2,1,3,4,低,二创权益
430,25-34,1,1,4,3,3,中低,限量收藏
431,25-34,0,3,1,2,1,中低,线下活动
432,25-34,0,1,3,3,1,低,景区权益
433,35-44,1,3,5,1,5,中低,景区权益
434,18-24,1,2,1,5,3,低,景区权益
435,45+,0,1,1,4,4,中高,二创权益
436,18-24,0,4,1,5,5,中低,景区权益
437,35-44,0,2,3,1,4,中低,线下活动
438,18-24,0,1,4,2,5,低,景区权益
439,35-44,0,3,3,1,3,低,景区权益
440,25-34,0,3,1,3,1,低,景区权益
441,18-24,1,2,1,2,4,低,线下活动
442,25-34,0,2,5,4,3,低,线下活动
443,18-24,0,3,3,4,4,中低,二创权益
444,35-44,0,1,3,1,3,低,二创权益
445,25-34,0,4,2,3,5,中低,景区权益
446,18-24,1,5,4,4,3,中低,线下活动
447,25-34,0,2,2,5,5,中低,限量收藏
448,18-24,1,3,2,2,1,低,二创权益
449,35-44,1,1,4,5,5,中高,景区权益
450,25-34,1,2,5,4,2,中高,线下活动
451,25-34,0,1,5,4,1,中高,景区权益
452,45+,1,2,4,1,3,低,景区权益
453,18-24,0,3,4,1,3,低,景区权益
454,45+,0,1,3,2,2,低,景区权益
455,25-34,0,3,3,1,3,中低,限量收藏
456,18-24,0,1,3,3,1,低,线下活动
457,25-34,0,2,3,2,1,低,线下活动
458,35-44,0,5,1,3,5,低,景区权益
459,25-34,0,5,1,1,4,中低,景区权益
460,18-24,1,4,5,2,3,中高,限量收藏
461,18-24,0,4,1,4,2,中低,二创权益
462,35-44,0,3,1,5,1,中低,景区权益
463,25-34,1,1,3,4,1,中低,限量收藏
464,25-34,0,4,3,3,1,低,景区权益
465,18-24,1,2,4,4,4,中低,限量收藏
466,35-44,1,5,3,4,4,中高,景区权益
467,45+,0,1,4,5,3,低,景区权益
468,18-24,0,5,4,5,2,中高,景区权益
469,18-24,1,1,1,4,4,中高,景区权益
470,35-44,1,4,3,5,5,中低,景区权益
471,35-44,1,4,1,4,4,中低,线下活动
472,25-34,0,3,3,2,1,低,景区权益
473,45+,1,1,1,4,2,低,景区权益
474,25-34,0,2,1,1,3,低,景区权益
475,18-24,0,4,1,5,4,中低,二创权益
476,35-44,0,3,5,5,1,中高,限量收藏
477,25-34,0,4,1,3,5,低,线下活动
478,45+,1,5,2,3,5,中低,景区权益
479,18-24,1,4,2,1,3,低,景区权益
480,25-34,1,1,2,5,3,低,景区权益
481,35-44,0,3,4,5,4,中高,限量收藏
482,25-34,1,1,1,3,3,低,限量收藏
483,25-34,1,2,2,3,1,低,二创权益
484,35-44,0,2,4,4,1,低,二创权益
485,25-34,1,4,2,5,1,中高,限量收藏
486,25-34,1,3,3,5,4,中低,限量收藏
487,35-44,1,3,5,4,4,中低,景区权益
488,18-24,0,3,1,5,3,低,景区权益
489,45+,1,3,5,1,4,中低,二创权益
490,35-44,1,4,5,3,1,中高,景区权益
491,25-34,0,1,3,3,2,低,二创权益
492,25-34,1,4,3,3,1,中高,限量收藏
493,45+,0,1,3,2,2,低,限量收藏
494,18-24,1,5,4,1,3,中高,景区权益
495,18-24,1,5,2,1,5,中高,线下活动
496,18-24,1,1,1,4,4,低,限量收藏
497,18-24,1,4,3,2,4,中高,景区权益
498,25-34,0,2,1,5,1,中低,景区权益
499,45+,0,4,1,1,1,中低,景区权益
500,35-44,1,2,1,2,2,低,限量收藏
501,25-34,0,4,3,2,4,低,景区权益
502,25-34,0,3,3,1,3,低,线下活动
503,25-34,0,3,2,4,1,中低,线下活动
504,18-24,0,5,3,2,4,中低,景区权益
505,35-44,1,5,3,3,5,低,线下活动
506,35-44,1,1,1,2,2,低,景区权益
507,35-44,0,2,2,5,1,中低,线下活动
508,25-34,0,3,5,1,1,低,景区权益
509,25-34,0,4,3,5,3,中高,景区权益
510,18-24,0,1,3,4,1,中高,景区权益
511,25-34,0,4,5,3,4,中低,线下活动
512,25-34,0,3,1,1,4,低,景区权益
513,45+,1,3,2,2,4,低,景区权益
514,45+,1,3,1,3,5,低,景区权益
515,45+,0,3,4,2,5,中低,景区权益
516,35-44,1,4,3,4,1,中高,线下活动
517,18-24,1,1,4,1,5,低,限量收藏
518,25-34,0,3,3,4,5,中低,二创权益
519,18-24,0,5,4,4,3,中低,景区权益
520,18-24,1,1,5,4,5,中低,景区权益
521,25-34,0,5,3,4,2,中高,线下活动
522,35-44,1,4,3,2,2,中低,线下活动
523,25-34,1,3,4,5,2,中低,景区权益
524,18-24,0,1,2,2,1,低,限量收藏
525,18-24,1,3,4,3,4,中高,线下活动
526,18-24,1,3,3,4,3,中高,景区权益
527,18-24,0,1,3,3,1,低,线下活动
528,18-24,0,3,2,2,4,低,景区权益
529,35-44,1,3,1,4,3,低,二创权益
530,35-44,1,2,2,2,3,中低,限量收藏
531,25-34,1,2,1,4,3,低,景区权益
532,35-44,1,1,3,2,2,低,限量收藏
533,18-24,0,1,5,1,2,低,二创权益
534,45+,0,3,5,5,2,中高,线下活动
535,25-34,0,5,4,5,3,中高,景区权益
536,35-44,0,1,2,4,3,低,限量收藏
537,45+,1,3,2,1,2,低,限量收藏
538,35-44,1,5,5,3,3,中高,景区权益
539,18-24,1,2,1,1,2,低,景区权益
540,25-34,1,1,2,4,2,低,限量收藏
541,18-24,0,3,1,1,2,低,限量收藏
542,18-24,0,2,1,3,4,低,景区权益
543,18-24,0,4,1,4,3,中低,线下活动
544,45+,1,2,1,5,1,中低,限量收藏
545,45+,0,3,4,1,2,低,景区权益
546,18-24,1,5,4,5,1,中高,景区权益
547,25-34,1,4,5,5,4,中高,限量收藏
548,45+,0,4,4,2,3,中低,线下活动
549,25-34,0,4,2,3,2,低,线下活动
550,25-34,1,1,4,1,2,中低,景区权益
551,25-34,0,3,2,5,2,中低,限量收藏
552,35-44,1,4,2,5,1,低,二创权益
553,25-34,1,2,1,3,4,低,景区权益
554,35-44,0,5,5,5,3,高,景区权益
555,25-34,0,3,1,5,4,中低,线下活动
556,18-24,0,2,1,5,2,中低,景区权益
557,25-34,1,1,4,5,4,中低,景区权益
558,18-24,0,4,4,2,1,中高,景区权益
559,25-34,1,2,2,2,5,中低,景区权益
560,18-24,1,3,4,4,5,中高,限量收藏
561,35-44,1,2,4,1,3,低,景区权益
562,25-34,0,1,3,3,3,低,二创权益
563,35-44,1,5,2,4,4,中低,限量收藏
564,45+,1,4,2,2,3,低,限量收藏
565,35-44,0,3,3,2,1,低,景区权益
566,45+,1,4,2,2,2,低,线下活动
567,25-34,1,4,5,4,2,高,限量收藏
568,18-24,1,4,5,2,4,低,线下活动
569,45+,0,2,3,4,2,中低,线下活动
570,35-44,1,2,4,2,4,中低,线下活动
571,35-44,0,5,5,5,3,高,限量收藏
572,35-44,1,1,3,5,3,中高,线下活动
573,25-34,1,3,5,1,1,中低,限量收藏
574,18-24,0,2,1,2,2,中低,景区权益
575,35-44,0,4,3,1,1,低,景区权益
576,18-24,1,1,2,4,5,低,二创权益
577,18-24,0,3,5,1,1,中低,景区权益
578,25-34,0,3,2,2,4,低,线下活动
579,25-34,0,3,3,4,4,低,景区权益
580,18-24,1,3,5,4,1,中高,限量收藏
581,35-44,1,5,2,5,3,高,线下活动
582,35-44,1,3,4,4,5,中低,景区权益
583,35-44,1,1,4,4,1,中低,线下活动
584,25-34,1,2,1,1,3,低,线下活动
585,45+,0,1,3,4,1,中低,限量收藏
586,18-24,0,4,2,3,2,低,限量收藏
587,35-44,1,5,1,5,4,中低,景区权益
588,18-24,1,5,3,5,2,高,限量收藏
